date,NFCI,ANFCI,Risk,Credit,Leverage,Nonfinancial_Leverage
2016-06-03,-0.367620358847115,-0.240877513068815,-0.514369068236224,0.176374098872527,0.0238455788189728,-0.628549642417193
2016-06-10,-0.360643398356905,-0.231789485785887,-0.510340069528443,0.180703079229083,0.0399937602748764,-0.627712931856661
2016-06-17,-0.352815498840738,-0.221786545906041,-0.505944443291974,0.184249374077529,0.0585796150219591,-0.626922648734955
2016-06-24,-0.34767547232412,-0.215380059961124,-0.502225877187534,0.185002873730671,0.0775126988776485,-0.626184044655648
2016-07-01,-0.344543565773176,-0.211222733703085,-0.498880594220903,0.183357482732545,0.0946547915392431,-0.625501607481575
2016-07-08,-0.345626358096991,-0.214218698180244,-0.495767058793196,0.17784900800642,0.108103776890854,-0.624879752965752
2016-07-15,-0.349715560118653,-0.222526289306859,-0.493052417097359,0.169671687996942,0.116914578254183,-0.62432005324979
2016-07-22,-0.353968651472281,-0.231972915083205,-0.488787160142703,0.16013544599239,0.120301945807814,-0.623824643436906
2016-07-29,-0.358277365500584,-0.241934504605499,-0.483862065588222,0.150677718064655,0.117986181774163,-0.623393873014921
2016-08-05,-0.360546744942997,-0.246833381726939,-0.478195632312213,0.143436295397496,0.110106071087695,-0.623026772992622
2016-08-12,-0.360801150973412,-0.245912111589778,-0.472224036448495,0.139179276787945,0.0970898373069386,-0.622719868584163
2016-08-19,-0.358473530523997,-0.238205765673572,-0.465982192947954,0.138453561994039,0.0794190737889383,-0.622466684687708
2016-08-26,-0.353365665635118,-0.225265771045207,-0.459469987599451,0.141192475888775,0.0574439657874405,-0.622256814812018
2016-09-02,-0.346343729886395,-0.210326949225672,-0.453851382932752,0.146933426963694,0.0315604006668403,-0.622075171679617
2016-09-09,-0.340449438511596,-0.200033000846421,-0.450298390639446,0.153495445299308,0.0015655791357025,-0.621901578204706
2016-09-16,-0.336069101951146,-0.195295264056962,-0.448648204880113,0.159484527005534,-0.0328977641871986,-0.621710027852751
2016-09-23,-0.334850090114347,-0.196940214222785,-0.449788747496714,0.163645604640366,-0.0726242710667247,-0.62146862455542
2016-09-30,-0.33800747506315,-0.205986816614772,-0.454394281327368,0.165325661897034,-0.11887261873518,-0.621140970670728
2016-10-07,-0.34516826154397,-0.2210614808717,-0.460544987543858,0.163029258497477,-0.17210812086062,-0.620687495040116
2016-10-14,-0.354324411894204,-0.237856532790688,-0.467003675971704,0.157576485079776,-0.232756352580671,-0.620062467827732
2016-10-21,-0.365604286584868,-0.258180698563127,-0.474159958473253,0.149543250953308,-0.300338721167901,-0.619226552999071
2016-10-28,-0.378666144018386,-0.283398697274401,-0.480433321088082,0.138557060761383,-0.373786152992752,-0.61814146144334
2016-11-04,-0.390838474558019,-0.30982679057078,-0.48511302779844,0.126384503357579,-0.450590669985558,-0.616774192063976
2016-11-11,-0.404883266140761,-0.338803093846537,-0.489447172723855,0.112732014952214,-0.52867472576247,-0.615099774048786
2016-11-18,-0.417737314090754,-0.364182842970919,-0.492307650704431,0.0988481256954869,-0.604034822685621,-0.613102155492812
2016-11-25,-0.429030192086611,-0.382714436807662,-0.494305276365904,0.0853720649113374,-0.673009332888081,-0.610774967320639
2016-12-02,-0.438900412215144,-0.393377947339797,-0.495735848268344,0.0725747675163455,-0.732987183707804,-0.608122864391007
2016-12-09,-0.447692744347437,-0.396291963824639,-0.497109422793369,0.0604692505215407,-0.781650822298319,-0.605161205476307
2016-12-16,-0.454560897824033,-0.393264737799596,-0.498340515135052,0.0492044538719312,-0.817054322327282,-0.601916473687521
2016-12-23,-0.460342698776699,-0.387691033900529,-0.499993942723156,0.0389655146368928,-0.839459636270682,-0.598426255696797
2016-12-30,-0.46669625101046,-0.38336712922378,-0.502248260541707,0.0286115256795673,-0.84920638517179,-0.594736739005779
2017-01-06,-0.47237651573686,-0.378203026155265,-0.504557785681645,0.0189126356062039,-0.847491707761432,-0.590897453978766
2017-01-13,-0.478142371021826,-0.374680336493064,-0.507100704776159,0.0096120674839825,-0.835902666569818,-0.586970282114442
2017-01-20,-0.482943861254674,-0.371790975171511,-0.509205201055873,0.0012628613606462,-0.816149194666503,-0.583008544202095
2017-01-27,-0.486597248693073,-0.369440569026961,-0.510352909305943,-0.0059831609458438,-0.790266900759585,-0.579064215766228
2017-02-03,-0.488944133054597,-0.368643064139907,-0.511383958702928,-0.0111598563132043,-0.759861421615941,-0.575184410310439
2017-02-10,-0.49018759708781,-0.371663749800159,-0.512157916156721,-0.0143554918881005,-0.726517838102956,-0.571409598301772
2017-02-17,-0.489575863729521,-0.375707835496931,-0.513041612158047,-0.0147776741210517,-0.691367773476609,-0.567773528704898
2017-02-24,-0.487420513802594,-0.379300413682105,-0.514051819059161,-0.0126922317510895,-0.655682261555071,-0.564304308313443
2017-03-03,-0.4854699846105,-0.384320592564382,-0.515889448044582,-0.00934795696118,-0.620115726801305,-0.561024722280019
2017-03-10,-0.482890600816651,-0.386424058372142,-0.518190222299792,-0.0053411463915134,-0.584493840415021,-0.557953431793412
2017-03-17,-0.480535613063574,-0.387296239093594,-0.520919519686419,-0.0016556967093283,-0.549800885370568,-0.555106342953909
2017-03-24,-0.479035144347626,-0.388754157572727,-0.524215852206727,0.0007746190562956,-0.516491612979481,-0.552497284737073
2017-03-31,-0.480394380398738,-0.393563750349869,-0.529201788146871,0.0010388927540046,-0.485387989816646,-0.550138780272202
2017-04-07,-0.483725615295996,-0.400348910060193,-0.535928511389977,-0.0002183352703794,-0.457306835185199,-0.548044002079038
2017-04-14,-0.489456273410608,-0.409260618913384,-0.54521238278513,-0.0025269303400803,-0.433088899794519,-0.546226577623405
2017-04-21,-0.497233462301529,-0.417945795117758,-0.556913102693489,-0.0054286064361092,-0.413424656809421,-0.544697076087745
2017-04-28,-0.50738216615754,-0.427979340150666,-0.570920681589817,-0.0089447502666688,-0.398663060579105,-0.543466741763541
2017-05-05,-0.517546357049504,-0.438491431361844,-0.585590488106237,-0.0122223029323496,-0.388845023967234,-0.542544866447341
2017-05-12,-0.527559946191448,-0.450343507504685,-0.599673060835785,-0.0158959225755374,-0.383486079137384,-0.54193752169696
2017-05-19,-0.536432103210857,-0.462367354371833,-0.611926382774087,-0.0198365220889762,-0.382209547523502,-0.541647081877509
2017-05-26,-0.54548886509573,-0.47604274175987,-0.621797041573268,-0.0253527157336008,-0.384168671734637,-0.541671412615824
2017-06-02,-0.552688566762586,-0.485712841631929,-0.628627196073865,-0.0313537325874586,-0.388234748764178,-0.542002599141987
2017-06-09,-0.558492301045056,-0.490595350506878,-0.632227426852443,-0.0380986209662832,-0.393606116939155,-0.542626891102418
2017-06-16,-0.562923327650878,-0.493345056325985,-0.633380371532139,-0.0451626120444909,-0.398873007834704,-0.543523881164174
2017-06-23,-0.565985908409554,-0.495418027960444,-0.632943986745949,-0.0520732293385095,-0.402601134073943,-0.544666111229675
2017-06-30,-0.569265083910372,-0.502475372688748,-0.632007825146201,-0.0587921307920189,-0.404572720930305,-0.546020015772783
2017-07-07,-0.572372280957,-0.514179914212197,-0.631268364521478,-0.0646698629166241,-0.403752376423411,-0.547551153299824
2017-07-14,-0.575595337238135,-0.527178522492284,-0.631541371543105,-0.0691376228732855,-0.400079337530392,-0.549214377930646
2017-07-21,-0.57778188874699,-0.537065808310788,-0.632001953784926,-0.0716432255932906,-0.394174652139231,-0.550972342185695
2017-07-28,-0.577404665843484,-0.537222897675493,-0.631841573763051,-0.071558063988953,-0.386778512656552,-0.552788334660793
2017-08-04,-0.574321297756101,-0.525609082770982,-0.630653515376543,-0.0691538378262169,-0.378929716619451,-0.55462856586933
2017-08-11,-0.569072037976889,-0.50656276391953,-0.628612503519418,-0.0652882630292914,-0.371197941550013,-0.556461756655086
2017-08-18,-0.563671204661366,-0.486510153307749,-0.626260560341135,-0.0613553140149852,-0.365012922571633,-0.558258248960035
2017-08-25,-0.559640060997609,-0.471395581263148,-0.624226870313334,-0.0585979540030417,-0.361296317164129,-0.559987772966446
2017-09-01,-0.557482475379616,-0.464409657652319,-0.622304741857935,-0.0579231459492824,-0.361078565284759,-0.561617852122096
2017-09-08,-0.55714828211856,-0.465515062743703,-0.620495354657829,-0.0595978520729319,-0.364941012265797,-0.563112279941818
2017-09-15,-0.559996173370187,-0.473865179034796,-0.619769163083969,-0.0638891320832144,-0.373413628118148,-0.564428981138196
2017-09-22,-0.564383053142835,-0.484685856475659,-0.619391902077479,-0.0701280254621501,-0.386131196920774,-0.565519218730071
2017-09-29,-0.569858707085431,-0.497233310715788,-0.619558878293502,-0.0775626518824798,-0.40253303942193,-0.566328555492678
