Date,btc_close,btc_r0,btc_r1,btc_r2,btc_r3,btc_r5,btc_r7,btc_r9,spx_close,spx_r0,spx_r1,spx_r2,spx_r3,spx_r5,spx_r7,spx_r9,zt_close,zt_r0,zt_r1,zt_r2,zt_r3,zt_r5,zt_r7,zt_r9,NFCI,mps,MPS_ORTH,MP_median,CBI_median,s_Overall,s_Households,s_Firms,s_Financial_Sector,s_Government,s_Central_Bank
2020-12-16,21365.7,0.095,0.16,0.174,0.204,0.157,0.179,0.24,3701.17,0.001,0.007,0.004,0.004,-0.0,-0.002,0.002,110.473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.591,0.01,,0.01,-0.009,-0.182,-0.182,0.125,-0.371,-0.255,-0.15
2021-01-27,30424.62,-0.067,0.029,0.052,0.054,0.031,0.148,0.164,3750.77,-0.023,-0.013,-0.032,-0.032,-0.017,-0.002,0.013,110.492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.619,0.006,0.031,0.021,-0.019,-0.121,-0.08,0.132,-0.321,0.273,-0.17
2021-03-17,58901.8,0.034,0.013,0.02,0.021,-0.051,-0.085,-0.033,3974.12,0.006,-0.009,-0.009,-0.009,-0.002,-0.015,0.006,110.465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.637,0.0,-0.005,-0.036,0.028,-0.138,-0.084,-0.069,-0.341,0.231,-0.145
2021-04-28,54901.97,-0.004,-0.028,0.048,0.049,0.038,0.043,0.041,4183.18,-0.0,0.006,-0.001,-0.001,0.002,-0.004,0.011,110.379,0.0,0.0,0.0,0.0,0.0,0.0,0.001,-0.677,0.006,-0.002,-0.006,0.001,-0.184,-0.172,-0.259,-0.32,0.143,-0.101
2021-06-16,38353.99,-0.046,-0.053,-0.114,-0.123,-0.239,-0.177,-0.24,4223.7,-0.006,-0.006,-0.02,-0.02,-0.006,-0.002,0.007,110.328,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.694,0.028,-0.024,0.041,-0.018,-0.106,0.021,0.093,-0.516,0.273,-0.14
2021-07-28,40036.32,0.015,0.015,0.068,0.05,-0.007,0.007,0.083,4400.64,-0.001,0.004,-0.002,-0.002,-0.004,-0.0,0.008,110.285,-0.0,0.0,0.0,0.0,0.001,0.0,-0.0,-0.661,0.01,-0.038,-0.01,0.012,-0.191,-0.178,-0.276,-0.275,0.0,-0.141
2021-09-22,43589.53,0.069,0.098,0.051,0.048,0.036,0.02,0.168,4395.64,0.006,0.019,0.02,0.02,0.017,-0.002,-0.002,110.273,-0.0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.002,-0.653,0.008,0.021,-0.022,0.022,-0.218,-0.014,-0.091,-0.506,-0.2,-0.174
2021-11-03,62930.72,-0.005,-0.029,-0.036,-0.028,0.066,0.026,0.014,4660.57,0.006,0.011,0.014,0.014,0.015,0.003,0.011,109.672,-0.0,0.001,0.001,0.001,0.0,-0.001,-0.001,-0.622,0.015,0.008,-0.011,0.017,-0.258,-0.252,-0.127,-0.516,-0.818,-0.14
2021-12-15,48876.84,0.01,-0.015,-0.046,-0.032,-0.031,0.005,0.049,4709.85,0.016,0.007,-0.003,-0.003,-0.015,0.013,0.019,109.414,-0.001,0.001,0.0,0.0,0.001,0.0,-0.0,-0.538,0.058,0.066,-0.019,0.054,-0.299,-0.123,-0.04,-0.452,-0.385,-0.429
2022-01-26,36829.32,-0.005,0.005,0.02,0.032,0.039,-0.002,0.117,4349.93,-0.013,-0.019,0.005,0.005,0.024,0.04,0.021,108.484,-0.001,-0.003,-0.003,-0.003,-0.003,-0.002,-0.005,-0.556,0.002,-0.001,0.009,-0.017,-0.343,-0.114,-0.308,-0.462,0.091,-0.427
